"accession","type","variant","isoform","protein_len","taxonomy id","organism","vgnc_id","hgnc_gene_name","ensembl_gene_id"
"XP_038318983.1","H2A","clustered H2A","isoform_9","130.0","9615","Dog","VGNC:83758","",""
"XP_038440274.1","H2A","clustered H2A","isoform_3","133.0","9615","Dog","VGNC:83758","",""
"NP_001361454.2","H2A","clustered H2A","isoform_6","130.0","9615","Dog","VGNC:83770","","ENSCAFG00000045621"
"XP_038294868.1","H2A","H2A.J","","129.0","9615","Dog","VGNC:83708","","ENSCAFG00000012984"
"XP_543796.1","H2A","H2A.J","","129.0","9615","Dog","VGNC:83708","","ENSCAFG00000012984"
"XP_038432800.1","H2A","H2A.J","","129.0","9615","Dog","VGNC:83708","","ENSCAFG00000012984"
"XP_038304867.1","H2A","H2A.L","","128.0","9615","Dog","VGNC:109581","","ENSCAFG00000043054"
"XP_548938.1","H2A","H2A.L","","128.0","9615","Dog","VGNC:109581","","ENSCAFG00000043054"
"XP_038442417.1","H2A","H2A.L","","128.0","9615","Dog","VGNC:109581","","ENSCAFG00000043054"
"XP_038305691.1","H2A","H2A.L","","128.0","9615","Dog","VGNC:109582","","ENSCAFG00000041985"
"XP_548947.1","H2A","H2A.L","","128.0","9615","Dog","VGNC:109582","","ENSCAFG00000041985"
"XP_038443099.1","H2A","H2A.L","","128.0","9615","Dog","VGNC:109582","","ENSCAFG00000041985"
"XP_038305692.1","H2A","H2A.P","","121.0","9615","Dog","VGNC:83749","",""
"XP_005641297.1","H2A","H2A.P","","121.0","9615","Dog","VGNC:83749","",""
"XP_038443100.1","H2A","H2A.P","","121.0","9615","Dog","VGNC:83749","",""
"XP_038305150.1","H2A","H2A.Q","","105.0","9615","Dog","VGNC:109580","",""
"XP_013966888.1","H2A","H2A.Q","","105.0","9615","Dog","VGNC:109580","",""
"XP_038444771.1","H2A","H2A.Q","","105.0","9615","Dog","VGNC:109580","",""
"XP_038520614.1","H2A","H2A.X","","143.0","9615","Dog","VGNC:83734","","ENSCAFG00000012332"
"XP_003640205.1","H2A","H2A.X","","143.0","9615","Dog","VGNC:83734","","ENSCAFG00000012332"
"XP_003640206.1","H2A","H2A.X","","143.0","9615","Dog","VGNC:83734","","ENSCAFG00000012332"
"NP_001274021.1","H2A","H2A.Z.1","","128.0","9615","Dog","VGNC:83696","","ENSCAFG00000010615"
"NP_001274021.1","H2A","H2A.Z.1","","128.0","9615","Dog","VGNC:83696","","ENSCAFG00000010615"
"XP_038299721.1","H2A","H2A.Z.1","","102.0","9615","Dog","VGNC:83696","","ENSCAFG00000010615"
"XP_038299721.1","H2A","H2A.Z.1","","102.0","9615","Dog","VGNC:83696","","ENSCAFG00000010615"
"XP_038545201.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545201.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545201.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545201.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545201.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545200.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545200.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545200.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545200.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545200.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545199.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545199.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545199.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545199.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545199.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545198.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545198.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545198.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545198.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038545198.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967514.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967514.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967514.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967514.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967514.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967513.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967513.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967513.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967513.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967513.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967512.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967512.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967512.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967512.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967512.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967511.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967511.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967511.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967511.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_013967511.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415467.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415467.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415467.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415467.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415467.1","H2A","H2A.Z.2","","90.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415466.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415466.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415466.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415466.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415466.1","H2A","H2A.Z.2","","128.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415465.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415465.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415465.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415465.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415465.1","H2A","H2A.Z.2","","146.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415464.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415464.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415464.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415464.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038415464.1","H2A","H2A.Z.2","","184.0","9615","Dog","VGNC:83697","","ENSCAFG00000032723"
"XP_038537506.1","H2A","macroH2A.1","","198.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537506.1","H2A","macroH2A.1","","198.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537506.1","H2A","macroH2A.1","","198.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537505.1","H2A","macroH2A.1","","199.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537505.1","H2A","macroH2A.1","","199.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537505.1","H2A","macroH2A.1","","199.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537504.1","H2A","macroH2A.1","","228.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537504.1","H2A","macroH2A.1","","228.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537504.1","H2A","macroH2A.1","","228.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537503.1","H2A","macroH2A.1","","229.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537503.1","H2A","macroH2A.1","","229.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537503.1","H2A","macroH2A.1","","229.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537502.1","H2A","macroH2A.1","","234.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537502.1","H2A","macroH2A.1","","234.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537502.1","H2A","macroH2A.1","","234.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537501.1","H2A","macroH2A.1","","235.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537501.1","H2A","macroH2A.1","","235.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537501.1","H2A","macroH2A.1","","235.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537500.1","H2A","macroH2A.1","","235.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537500.1","H2A","macroH2A.1","","235.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537500.1","H2A","macroH2A.1","","235.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537499.1","H2A","macroH2A.1","","235.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537499.1","H2A","macroH2A.1","","235.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537499.1","H2A","macroH2A.1","","235.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537498.1","H2A","macroH2A.1","","235.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537498.1","H2A","macroH2A.1","","235.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038537498.1","H2A","macroH2A.1","","235.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518113.1","H2A","macroH2A.1","","368.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518113.1","H2A","macroH2A.1","","368.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518113.1","H2A","macroH2A.1","","368.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518106.1","H2A","macroH2A.1","","369.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518106.1","H2A","macroH2A.1","","369.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518106.1","H2A","macroH2A.1","","369.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518097.1","H2A","macroH2A.1","","371.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518097.1","H2A","macroH2A.1","","371.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518097.1","H2A","macroH2A.1","","371.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518078.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518078.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518078.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518069.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518069.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518069.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518060.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518060.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518060.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_538635.3","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_538635.3","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_538635.3","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408147.1","H2A","macroH2A.1","","368.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408147.1","H2A","macroH2A.1","","368.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408147.1","H2A","macroH2A.1","","368.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408146.1","H2A","macroH2A.1","","369.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408146.1","H2A","macroH2A.1","","369.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408146.1","H2A","macroH2A.1","","369.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408145.1","H2A","macroH2A.1","","371.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408145.1","H2A","macroH2A.1","","371.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408145.1","H2A","macroH2A.1","","371.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408144.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408144.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408144.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408143.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408143.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408143.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408142.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408142.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408142.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408141.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408141.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038408141.1","H2A","macroH2A.1","","372.0","9615","Dog","VGNC:81622","","ENSCAFG00000001076"
"XP_038518742.1","H2A","macroH2A.2","","372.0","9615","Dog","VGNC:81623","","ENSCAFG00000014002"
"XP_038346464.1","H2A","macroH2A.2","","372.0","9615","Dog","VGNC:81623","","ENSCAFG00000014002"
"XP_038390125.1","H2A","macroH2A.2","","372.0","9615","Dog","VGNC:81623","","ENSCAFG00000014002"
"XP_023490101.1","H2A","H2A.B","","115","9796","Horse","VGNC:83788","","ENSECAG00000037455"
"XP_023489817.1","H2A","H2A.B","","115","9796","Horse","VGNC:83789","","ENSECAG00000029871"
"XP_005603679.1","H2A","clustered H2A","isoform_6","130","9796","Horse","VGNC:83792","",""
"XP_023479918.1","H2A","clustered H2A","isoform_8","130","9796","Horse","VGNC:83790","","ENSECAG00000041373"
"XP_005603689.1","H2A","clustered H2A","isoform_9","128","9796","Horse","VGNC:83791","","ENSECAG00000042371"
"XP_001494450.3","H2A","clustered H2A","isoform_9","128","9796","Horse","VGNC:83793","","ENSECAG00000043633"
"","H2A","clustered H2A","isoform_11","128","9796","Horse","VGNC:83795","","ENSECAG00000029021"
"XP_070100451.1","H2A","clustered H2A","isoform_6","130","9796","Horse","VGNC:95404","",""
"XP_070100450.1","H2A","clustered H2A","isoform_10","181","9796","Horse","VGNC:83794","","ENSECAG00000040805"
"XP_014589773.1","H2A","clustered H2A","isoform_8","130","9796","Horse","VGNC:83798","","ENSECAG00000036162"
"XP_001488204.1","H2A","clustered H2A","isoform_12","130","9796","Horse","VGNC:95391","","ENSECAG00000043631"
"NP_001422592.1","H2A","clustered H2A","isoform_13","129","9796","Horse","VGNC:95395","","ENSECAG00000042897"
"XP_023497056.1","H2A","clustered H2A","isoform_14","130","9796","Horse","VGNC:83797","","ENSECAG00000040706"
"XP_005599707.1","H2A","clustered H2A","isoform_15","130","9796","Horse","VGNC:83805","","ENSECAG00000006041"
"XP_001496794.1","H2A","clustered H2A","isoform_2","130","9796","Horse","VGNC:83796","","ENSECAG00000037839"
"XP_005603677.1","H2A","clustered H2A","isoform_4","130","9796","Horse","VGNC:83800","","ENSECAG00000038416"
"NP_001422713.1","H2A","clustered H2A","isoform_5","130","9796","Horse","VGNC:83801","","ENSECAG00000037338"
"XP_014589727.1","H2A","clustered H2A","isoform_6","130","9796","Horse","VGNC:83799","","ENSECAG00000033031"
"XP_014589726.1","H2A","clustered H2A","isoform_3","130","9796","Horse","VGNC:83802","","ENSECAG00000039905"
"XP_070100272.1","H2A","clustered H2A","isoform_7","130","9796","Horse","VGNC:83804","","ENSECAG00000031036"
"XP_014596204.2","H2A","H2A.J","","129","9796","Horse","VGNC:83803","","ENSECAG00000034818"
"XP_023489632.2","H2A","H2A.P","","109","9796","Horse","VGNC:83806","",""
"XP_023500737.1","H2A","H2A.X","","143","9796","Horse","VGNC:83807","","ENSECAG00000029766"
"XP_023493427.1","H2A","H2A.Z.1","","128","9796","Horse","VGNC:83808","","ENSECAG00000023732"
"XP_023493427.1","H2A","H2A.Z.1","","128","9796","Horse","VGNC:83808","","ENSECAG00000023732"
"XP_023494789.1","H2A","H2A.Z.2","","128","9796","Horse","VGNC:83809","","ENSECAG00000016692"
"XP_023494789.1","H2A","H2A.Z.2","","128","9796","Horse","VGNC:83809","","ENSECAG00000016692"
"XP_023494789.1","H2A","H2A.Z.2","","128","9796","Horse","VGNC:83809","","ENSECAG00000016692"
"XP_023494789.1","H2A","H2A.Z.2","","128","9796","Horse","VGNC:83809","","ENSECAG00000016692"
"XP_023494789.1","H2A","H2A.Z.2","","128","9796","Horse","VGNC:83809","","ENSECAG00000016692"
"XP_070090384.1","H2A","macroH2A.1","","368","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_070090384.1","H2A","macroH2A.1","","368","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_070090384.1","H2A","macroH2A.1","","368","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_070090383.1","H2A","macroH2A.1","","371","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_070090383.1","H2A","macroH2A.1","","371","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_070090383.1","H2A","macroH2A.1","","371","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473436.1","H2A","macroH2A.1","","368","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473436.1","H2A","macroH2A.1","","368","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473436.1","H2A","macroH2A.1","","368","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473435.1","H2A","macroH2A.1","","369","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473435.1","H2A","macroH2A.1","","369","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473435.1","H2A","macroH2A.1","","369","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473434.1","H2A","macroH2A.1","","371","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473434.1","H2A","macroH2A.1","","371","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473434.1","H2A","macroH2A.1","","371","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473432.1","H2A","macroH2A.1","","372","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473432.1","H2A","macroH2A.1","","372","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473432.1","H2A","macroH2A.1","","372","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473431.1","H2A","macroH2A.1","","372","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473431.1","H2A","macroH2A.1","","372","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023473431.1","H2A","macroH2A.1","","372","9796","Horse","VGNC:81621","","ENSECAG00000010224"
"XP_023499980.1","H2A","macroH2A.2","","342","9796","Horse","VGNC:55911","","ENSECAG00000019223"
"XP_005602490.2","H2A","macroH2A.2","","372","9796","Horse","VGNC:55911","","ENSECAG00000019223"
"XP_001088506.1","H2A","H2A.B","","115","9544","Macaque","VGNC:109669","","ENSMMUG00000059127"
"XP_014996354.1","H2A","H2A.B","","115","9544","Macaque","VGNC:109668","","ENSMMUG00000055745"
"XP_014996353.1","H2A","H2A.B","","115","9544","Macaque","VGNC:109670","",""
"XP_014996351.1","H2A","clustered H2A","isoform_1","131","9544","Macaque","VGNC:109672","","ENSMMUG00000039988"
"XP_028703609.1","H2A","clustered H2A","","117","9544","Macaque","VGNC:109679","",""
"XP_014991239.1","H2A","clustered H2A","isoform_5","130","9544","Macaque","VGNC:109681","","ENSMMUG00000052414"
"XP_001093153.1","H2A","clustered H2A","isoform_7","128","9544","Macaque","VGNC:109682","","ENSMMUG00000061750"
"NP_001180960.1","H2A","clustered H2A","isoform_5","130","9544","Macaque","VGNC:109680","","ENSMMUG00000055788"
"NP_001180966.1","H2A","clustered H2A","isoform_8","128","9544","Macaque","VGNC:109685","","ENSMMUG00000052150"
"XP_014991251.1","H2A","clustered H2A","isoform_5","130","9544","Macaque","VGNC:109683","","ENSMMUG00000042665"
"XP_001096671.1","H2A","clustered H2A","isoform_6","130","9544","Macaque","VGNC:109684","","ENSMMUG00000062046"
"XP_001097227.1","H2A","clustered H2A","isoform_5","130","9544","Macaque","VGNC:109686","","ENSMMUG00000049519"
"XP_028685339.1","H2A","clustered H2A","isoform_9","130","9544","Macaque","VGNC:109688","",""
"XP_001084365.1","H2A","clustered H2A","isoform_9","130","9544","Macaque","VGNC:109687","",""
"XP_001096626.1","H2A","clustered H2A","isoform_10","129","9544","Macaque","VGNC:109690","","ENSMMUG00000037540"
"XP_001096734.1","H2A","clustered H2A","isoform_11","130","9544","Macaque","VGNC:109689","","ENSMMUG00000061036"
"NP_001252555.1","H2A","clustered H2A","isoform_12","130","9544","Macaque","VGNC:109691","","ENSMMUG00000041308"
"","H2A","","","","9544","Macaque","VGNC:109671","",""
"","H2A","","","","9544","Macaque","VGNC:109673","",""
"NP_001180653.1","H2A","clustered H2A","isoform_2","130","9544","Macaque","VGNC:109675","",""
"","H2A","","","","9544","Macaque","VGNC:109674","","ENSMMUG00000061046"
"NP_001180707.1","H2A","clustered H2A","isoform_3","130","9544","Macaque","VGNC:109676","","ENSMMUG00000060294"
"NP_001180722.1","H2A","clustered H2A","isoform_4","130","9544","Macaque","VGNC:109677","",""
"XP_001087578.1","H2A","clustered H2A","isoform_2","130","9544","Macaque","VGNC:109678","","ENSMMUG00000060663"
"NP_001180795.1","H2A","H2A.J","","129","9544","Macaque","VGNC:99938","","ENSMMUG00000018013"
"XP_014982656.1","H2A","H2A.P","","117","9544","Macaque","VGNC:109693","",""
"NP_001181134.1","H2A","H2A.X","","143","9544","Macaque","VGNC:109694","","ENSMMUG00000044496"
"XP_014971377.1","H2A","H2A.X","","143","9544","Macaque","VGNC:109694","","ENSMMUG00000044496"
"NP_001180479.1","H2A","H2A.Z.1","","128","9544","Macaque","VGNC:109696","","ENSMMUG00000038454"
"NP_001180479.1","H2A","H2A.Z.1","","128","9544","Macaque","VGNC:109696","","ENSMMUG00000038454"
"NP_001247938.1","H2A","H2A.Z.2","","90","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
"NP_001247938.1","H2A","H2A.Z.2","","90","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
"NP_001247938.1","H2A","H2A.Z.2","","90","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
"NP_001247938.1","H2A","H2A.Z.2","","90","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
"NP_001247938.1","H2A","H2A.Z.2","","90","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
"XP_014989036.1","H2A","H2A.Z.2","","66","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
"XP_014989036.1","H2A","H2A.Z.2","","66","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
"XP_014989036.1","H2A","H2A.Z.2","","66","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
"XP_014989036.1","H2A","H2A.Z.2","","66","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
"XP_014989036.1","H2A","H2A.Z.2","","66","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
"XP_014989035.1","H2A","H2A.Z.2","","114","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
"XP_014989035.1","H2A","H2A.Z.2","","114","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
"XP_014989035.1","H2A","H2A.Z.2","","114","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
"XP_014989035.1","H2A","H2A.Z.2","","114","9544","Macaque","VGNC:81324","","ENSMMUG00000000962"
