accession,type,variant,isoform,protein_len,taxonomy id,organism,vgnc_id,hgnc_id,ncbi_id,ensembl_gene_id,species_name,order
XP_038415464.1,H2A,H2A.Z.2,,184.0,9615,Dog,VGNC:83697,,475501,ENSCAFG00000032723,Canis lupus familiaris,Carnivora
XP_038537506.1,H2A,macroH2A.1,,198.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038537505.1,H2A,macroH2A.1,,199.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038537504.1,H2A,macroH2A.1,,228.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038537503.1,H2A,macroH2A.1,,229.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038537502.1,H2A,macroH2A.1,,234.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038537501.1,H2A,macroH2A.1,,235.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038537500.1,H2A,macroH2A.1,,235.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038537499.1,H2A,macroH2A.1,,235.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038537498.1,H2A,macroH2A.1,,235.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038518113.1,H2A,macroH2A.1,,368.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038518106.1,H2A,macroH2A.1,,369.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038518097.1,H2A,macroH2A.1,,371.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038518078.1,H2A,macroH2A.1,,372.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038518069.1,H2A,macroH2A.1,,372.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038518060.1,H2A,macroH2A.1,,372.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_538635.3,H2A,macroH2A.1,,372.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038408147.1,H2A,macroH2A.1,,368.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038408146.1,H2A,macroH2A.1,,369.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038408145.1,H2A,macroH2A.1,,371.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038408144.1,H2A,macroH2A.1,,372.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038408143.1,H2A,macroH2A.1,,372.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038408142.1,H2A,macroH2A.1,,372.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038408141.1,H2A,macroH2A.1,,372.0,9615,Dog,VGNC:81622,,481514,ENSCAFG00000001076,Canis lupus familiaris,Carnivora
XP_038518742.1,H2A,macroH2A.2,,372.0,9615,Dog,VGNC:81623,,489024,ENSCAFG00000014002,Canis lupus familiaris,Carnivora
XP_038346464.1,H2A,macroH2A.2,,372.0,9615,Dog,VGNC:81623,,489024,ENSCAFG00000014002,Canis lupus familiaris,Carnivora
XP_038390125.1,H2A,macroH2A.2,,372.0,9615,Dog,VGNC:81623,,489024,ENSCAFG00000014002,Canis lupus familiaris,Carnivora
XP_023490101.1,H2A,H2A.B,,115,9796,Horse,VGNC:83788,,111771646,ENSECAG00000037455,Equus caballus,Perissodactyla
XP_023489817.1,H2A,H2A.B,,115,9796,Horse,VGNC:83789,,102149092,ENSECAG00000029871,Equus caballus,Perissodactyla
XP_005603679.1,H2A,clustered H2A,isoform_6,130,9796,Horse,VGNC:83792,,100054424,,Equus caballus,Perissodactyla
XP_023479918.1,H2A,clustered H2A,isoform_8,130,9796,Horse,VGNC:83790,,100053378,ENSECAG00000041373,Equus caballus,Perissodactyla
XP_005603689.1,H2A,clustered H2A,isoform_9,128,9796,Horse,VGNC:83791,,100053325,ENSECAG00000042371,Equus caballus,Perissodactyla
XP_001494450.3,H2A,clustered H2A,isoform_9,128,9796,Horse,VGNC:83793,,100063021,ENSECAG00000043633,Equus caballus,Perissodactyla
XP_070100451.1,H2A,clustered H2A,isoform_6,130,9796,Horse,VGNC:95404,,100052942,,Equus caballus,Perissodactyla
XP_070100450.1,H2A,clustered H2A,isoform_10,181,9796,Horse,VGNC:83794,,100052837,ENSECAG00000040805,Equus caballus,Perissodactyla
XP_014589773.1,H2A,clustered H2A,isoform_8,130,9796,Horse,VGNC:83798,,100052624,ENSECAG00000036162,Equus caballus,Perissodactyla
XP_001488204.1,H2A,clustered H2A,isoform_12,130,9796,Horse,VGNC:95391,,100054058,ENSECAG00000043631,Equus caballus,Perissodactyla
NP_001422592.1,H2A,clustered H2A,isoform_13,129,9796,Horse,VGNC:95395,,100058587,ENSECAG00000042897,Equus caballus,Perissodactyla
XP_023497056.1,H2A,clustered H2A,isoform_14,130,9796,Horse,VGNC:83797,,106783189,ENSECAG00000040706,Equus caballus,Perissodactyla
XP_005599707.1,H2A,clustered H2A,isoform_15,130,9796,Horse,VGNC:83805,,100061017,ENSECAG00000006041,Equus caballus,Perissodactyla
XP_001496794.1,H2A,clustered H2A,isoform_2,130,9796,Horse,VGNC:83796,,100053105,ENSECAG00000037839,Equus caballus,Perissodactyla
XP_005603677.1,H2A,clustered H2A,isoform_4,130,9796,Horse,VGNC:83800,,100053206,ENSECAG00000038416,Equus caballus,Perissodactyla
NP_001422713.1,H2A,clustered H2A,isoform_5,130,9796,Horse,VGNC:83801,,100053545,ENSECAG00000037338,Equus caballus,Perissodactyla
XP_014589727.1,H2A,clustered H2A,isoform_6,130,9796,Horse,VGNC:83799,,100053994,ENSECAG00000033031,Equus caballus,Perissodactyla
XP_014589726.1,H2A,clustered H2A,isoform_3,130,9796,Horse,VGNC:83802,,100053897,ENSECAG00000039905,Equus caballus,Perissodactyla
XP_070100272.1,H2A,clustered H2A,isoform_7,130,9796,Horse,VGNC:83804,,100054146,ENSECAG00000031036,Equus caballus,Perissodactyla
XP_014596204.2,H2A,H2A.J,,129,9796,Horse,VGNC:83803,,102150778,ENSECAG00000034818,Equus caballus,Perissodactyla
XP_023489632.2,H2A,H2A.P,,109,9796,Horse,VGNC:83806,,111771559,,Equus caballus,Perissodactyla
XP_023500737.1,H2A,H2A.X,,143,9796,Horse,VGNC:83807,,111774230,ENSECAG00000029766,Equus caballus,Perissodactyla
XP_023493427.1,H2A,H2A.Z.1,,128,9796,Horse,VGNC:83808,,100146489,ENSECAG00000023732,Equus caballus,Perissodactyla
XP_023494789.1,H2A,H2A.Z.2,,128,9796,Horse,VGNC:83809,,100629965,ENSECAG00000016692,Equus caballus,Perissodactyla
XP_070090384.1,H2A,macroH2A.1,,368,9796,Horse,VGNC:81621,,100062747,ENSECAG00000010224,Equus caballus,Perissodactyla
XP_070090383.1,H2A,macroH2A.1,,371,9796,Horse,VGNC:81621,,100062747,ENSECAG00000010224,Equus caballus,Perissodactyla
XP_023473436.1,H2A,macroH2A.1,,368,9796,Horse,VGNC:81621,,100062747,ENSECAG00000010224,Equus caballus,Perissodactyla
XP_023473435.1,H2A,macroH2A.1,,369,9796,Horse,VGNC:81621,,100062747,ENSECAG00000010224,Equus caballus,Perissodactyla
XP_023473434.1,H2A,macroH2A.1,,371,9796,Horse,VGNC:81621,,100062747,ENSECAG00000010224,Equus caballus,Perissodactyla
XP_023473432.1,H2A,macroH2A.1,,372,9796,Horse,VGNC:81621,,100062747,ENSECAG00000010224,Equus caballus,Perissodactyla
XP_023473431.1,H2A,macroH2A.1,,372,9796,Horse,VGNC:81621,,100062747,ENSECAG00000010224,Equus caballus,Perissodactyla
XP_023499980.1,H2A,macroH2A.2,,342,9796,Horse,VGNC:55911,,100063355,ENSECAG00000019223,Equus caballus,Perissodactyla
XP_005602490.2,H2A,macroH2A.2,,372,9796,Horse,VGNC:55911,,100063355,ENSECAG00000019223,Equus caballus,Perissodactyla
XP_001088506.1,H2A,H2A.B,,115,9544,Macaque,VGNC:109669,,703044.0,ENSMMUG00000059127,Macaca mulatta,Primates
XP_014996354.1,H2A,H2A.B,,115,9544,Macaque,VGNC:109668,,114675038.0,ENSMMUG00000055745,Macaca mulatta,Primates
XP_014996353.1,H2A,H2A.B,,115,9544,Macaque,VGNC:109670,,106995531.0,,Macaca mulatta,Primates
XP_014996351.1,H2A,clustered H2A,isoform_1,131,9544,Macaque,VGNC:109672,,698239.0,ENSMMUG00000039988,Macaca mulatta,Primates
XP_028703609.1,H2A,clustered H2A,,117,9544,Macaque,VGNC:109679,,114677660.0,,Macaca mulatta,Primates
XP_014991239.1,H2A,clustered H2A,isoform_5,130,9544,Macaque,VGNC:109681,,701574.0,ENSMMUG00000052414,Macaca mulatta,Primates
XP_001093153.1,H2A,clustered H2A,isoform_7,128,9544,Macaque,VGNC:109682,,701826.0,ENSMMUG00000061750,Macaca mulatta,Primates
NP_001180960.1,H2A,clustered H2A,isoform_5,130,9544,Macaque,VGNC:109680,,704006.0,ENSMMUG00000055788,Macaca mulatta,Primates
NP_001180966.1,H2A,clustered H2A,isoform_8,128,9544,Macaque,VGNC:109685,,704127.0,ENSMMUG00000052150,Macaca mulatta,Primates
XP_014991251.1,H2A,clustered H2A,isoform_5,130,9544,Macaque,VGNC:109683,,704664.0,ENSMMUG00000042665,Macaca mulatta,Primates
XP_001096671.1,H2A,clustered H2A,isoform_6,130,9544,Macaque,VGNC:109684,,704994.0,ENSMMUG00000062046,Macaca mulatta,Primates
XP_001097227.1,H2A,clustered H2A,isoform_5,130,9544,Macaque,VGNC:109686,,705469.0,ENSMMUG00000049519,Macaca mulatta,Primates
XP_028685339.1,H2A,clustered H2A,isoform_9,130,9544,Macaque,VGNC:109688,,114670854.0,,Macaca mulatta,Primates
XP_001084365.1,H2A,clustered H2A,isoform_9,130,9544,Macaque,VGNC:109687,,696463.0,,Macaca mulatta,Primates
XP_001096626.1,H2A,clustered H2A,isoform_10,129,9544,Macaque,VGNC:109690,,705054.0,ENSMMUG00000037540,Macaca mulatta,Primates
XP_001096734.1,H2A,clustered H2A,isoform_11,130,9544,Macaque,VGNC:109689,,705170.0,ENSMMUG00000061036,Macaca mulatta,Primates
NP_001252555.1,H2A,clustered H2A,isoform_12,130,9544,Macaque,VGNC:109691,,693768.0,ENSMMUG00000041308,Macaca mulatta,Primates
NP_001180653.1,H2A,clustered H2A,isoform_2,130,9544,Macaque,VGNC:109675,,695551.0,,Macaca mulatta,Primates
NP_001180707.1,H2A,clustered H2A,isoform_3,130,9544,Macaque,VGNC:109676,,696629.0,ENSMMUG00000060294,Macaca mulatta,Primates
NP_001180722.1,H2A,clustered H2A,isoform_4,130,9544,Macaque,VGNC:109677,,697235.0,,Macaca mulatta,Primates
XP_001087578.1,H2A,clustered H2A,isoform_2,130,9544,Macaque,VGNC:109678,,697977.0,ENSMMUG00000060663,Macaca mulatta,Primates
NP_001180795.1,H2A,H2A.J,,129,9544,Macaque,VGNC:99938,,701863.0,ENSMMUG00000018013,Macaca mulatta,Primates
XP_014982656.1,H2A,H2A.P,,117,9544,Macaque,VGNC:109693,,697665.0,,Macaca mulatta,Primates
NP_001181134.1,H2A,H2A.X,,143,9544,Macaque,VGNC:109694,,703073.0,ENSMMUG00000044496,Macaca mulatta,Primates
XP_014971377.1,H2A,H2A.X,,143,9544,Macaque,VGNC:109694,,703073.0,ENSMMUG00000044496,Macaca mulatta,Primates
NP_001180479.1,H2A,H2A.Z.1,,128,9544,Macaque,VGNC:109696,,709326.0,ENSMMUG00000038454,Macaca mulatta,Primates
NP_001247938.1,H2A,H2A.Z.2,,90,9544,Macaque,VGNC:81324,,705636.0,ENSMMUG00000000962,Macaca mulatta,Primates
XP_014989036.1,H2A,H2A.Z.2,,66,9544,Macaque,VGNC:81324,,705636.0,ENSMMUG00000000962,Macaca mulatta,Primates
XP_014989035.1,H2A,H2A.Z.2,,114,9544,Macaque,VGNC:81324,,705636.0,ENSMMUG00000000962,Macaca mulatta,Primates
XP_014989034.1,H2A,H2A.Z.2,,128,9544,Macaque,VGNC:81324,,705636.0,ENSMMUG00000000962,Macaca mulatta,Primates
NP_001248669.1,H2A,macroH2A.1,,371,9544,Macaque,VGNC:109697,,711836.0,ENSMMUG00000014465,Macaca mulatta,Primates
XP_014996354.1,H2A,macroH2A.1,,368,9544,Macaque,VGNC:109697,,711836.0,ENSMMUG00000014465,Macaca mulatta,Primates
XP_014996353.1,H2A,macroH2A.1,,369,9544,Macaque,VGNC:109697,,711836.0,ENSMMUG00000014465,Macaca mulatta,Primates
XP_014996351.1,H2A,macroH2A.1,,372,9544,Macaque,VGNC:109697,,711836.0,ENSMMUG00000014465,Macaca mulatta,Primates
NP_001253343.1,H2A,macroH2A.2,,372,9544,Macaque,VGNC:109695,,711117.0,ENSMMUG00000006395,Macaca mulatta,Primates
XP_020936188.1,H2A,H2A.B,,113,9823,Pig,VGNC:109779,,100517800,,Sus scrofa,Artiodactyla
XP_020936102.1,H2A,H2A.B,,113,9823,Pig,VGNC:109778,,100620620,,Sus scrofa,Artiodactyla
XP_020936101.1,H2A,H2A.B,,113,9823,Pig,VGNC:109778,,100620620,,Sus scrofa,Artiodactyla
XP_005674080.2,H2A,H2A.B,,214,9823,Pig,VGNC:109778,,100620620,,Sus scrofa,Artiodactyla
XP_020936105.1,H2A,H2A.B,,113,9823,Pig,VGNC:109780,,100620916,,Sus scrofa,Artiodactyla
XP_020936104.1,H2A,H2A.B,,113,9823,Pig,VGNC:109780,,100620916,,Sus scrofa,Artiodactyla
XP_001925399.1,H2A,clustered H2A,isoform_1,131,9823,Pig,VGNC:109782,,100153329,,Sus scrofa,Artiodactyla
XP_020955497.1,H2A,clustered H2A,isoform_5,130,9823,Pig,VGNC:109789,,110261665,,Sus scrofa,Artiodactyla
XP_020955498.1,H2A,clustered H2A,isoform_5,130,9823,Pig,VGNC:109787,,110261666,ENSSSCG00000033451,Sus scrofa,Artiodactyla
XP_020955499.1,H2A,clustered H2A,isoform_6,128,9823,Pig,VGNC:109792,,110261668,ENSSSCG00000047716,Sus scrofa,Artiodactyla
XP_001928592.1,H2A,clustered H2A,isoform_6,128,9823,Pig,VGNC:109790,,100157763,,Sus scrofa,Artiodactyla
XP_013832957.1,H2A,clustered H2A,isoform_9,130,9823,Pig,VGNC:109791,,100154071,ENSSSCG00000032609,Sus scrofa,Artiodactyla
XP_013832958.1,H2A,clustered H2A,isoform_7,130,9823,Pig,VGNC:109793,,100154508,,Sus scrofa,Artiodactyla
XP_003356618.1,H2A,clustered H2A,isoform_5,130,9823,Pig,VGNC:109794,,100622387,ENSSSCG00000046222,Sus scrofa,Artiodactyla
XP_005663563.1,H2A,clustered H2A,isoform_10,173,9823,Pig,VGNC:109798,,102159655,,Sus scrofa,Artiodactyla
XP_003355263.3,H2A,clustered H2A,isoform_10,173,9823,Pig,VGNC:109797,,100624086,,Sus scrofa,Artiodactyla
XP_013852658.1,H2A,clustered H2A,isoform_11,129,9823,Pig,VGNC:109796,,106510170,,Sus scrofa,Artiodactyla
XP_020945584.1,H2A,clustered H2A,isoform_12,130,9823,Pig,VGNC:109799,,100154181,ENSSSCG00000037533,Sus scrofa,Artiodactyla
XP_020939041.1,H2A,clustered H2A,isoform_13,130,9823,Pig,VGNC:109800,,100621538,ENSSSCG00000047900,Sus scrofa,Artiodactyla
XP_020954092.1,H2A,clustered H2A,isoform_3,130,9823,Pig,VGNC:109781,,110261483,,Sus scrofa,Artiodactyla
XP_020954091.1,H2A,clustered H2A,isoform_4,130,9823,Pig,VGNC:109786,,110261482,,Sus scrofa,Artiodactyla
XP_001927727.1,H2A,clustered H2A,isoform_5,130,9823,Pig,VGNC:109784,,100158121,,Sus scrofa,Artiodactyla
XP_020954090.1,H2A,clustered H2A,isoform_3,130,9823,Pig,VGNC:109788,,100155734,,Sus scrofa,Artiodactyla
XP_013853268.2,H2A,H2A.J,,129,9823,Pig,VGNC:109801,,100625850,ENSSSCG00000039307,Sus scrofa,Artiodactyla
XP_003360303.2,H2A,H2A.L,,122,9823,Pig,VGNC:109802,,100520991,,Sus scrofa,Artiodactyla
XP_003484147.1,H2A,H2A.L,,127,9823,Pig,VGNC:109804,,100736633,,Sus scrofa,Artiodactyla
XP_003135058.1,H2A,H2A.P,,113,9823,Pig,VGNC:109803,,100525672,,Sus scrofa,Artiodactyla
NP_001422336.1,H2A,H2A.X,,143,9823,Pig,VGNC:109807,,100522201,ENSSSCG00000042208,Sus scrofa,Artiodactyla
NP_001116594.1,H2A,H2A.Z.1,,128,9823,Pig,VGNC:109805,,100141311,ENSSSCG00000009178,Sus scrofa,Artiodactyla
XP_020934317.1,H2A,H2A.Z.2,,128,9823,Pig,VGNC:109806,,100512448,ENSSSCG00000016738,Sus scrofa,Artiodactyla
NP_001231492.1,H2A,macroH2A.1,,368,9823,Pig,VGNC:109808,,100512769,ENSSSCG00000014307,Sus scrofa,Artiodactyla
NP_001231491.1,H2A,macroH2A.1,,371,9823,Pig,VGNC:109808,,100512769,ENSSSCG00000014307,Sus scrofa,Artiodactyla
XP_020934043.1,H2A,macroH2A.1,,368,9823,Pig,VGNC:109808,,100512769,ENSSSCG00000014307,Sus scrofa,Artiodactyla
XP_020934034.1,H2A,macroH2A.1,,368,9823,Pig,VGNC:109808,,100512769,ENSSSCG00000014307,Sus scrofa,Artiodactyla
XP_020934024.1,H2A,macroH2A.1,,369,9823,Pig,VGNC:109808,,100512769,ENSSSCG00000014307,Sus scrofa,Artiodactyla
XP_020934017.1,H2A,macroH2A.1,,371,9823,Pig,VGNC:109808,,100512769,ENSSSCG00000014307,Sus scrofa,Artiodactyla
XP_020934013.1,H2A,macroH2A.1,,371,9823,Pig,VGNC:109808,,100512769,ENSSSCG00000014307,Sus scrofa,Artiodactyla
XP_020934004.1,H2A,macroH2A.1,,372,9823,Pig,VGNC:109808,,100512769,ENSSSCG00000014307,Sus scrofa,Artiodactyla
XP_020933993.1,H2A,macroH2A.1,,372,9823,Pig,VGNC:109808,,100512769,ENSSSCG00000014307,Sus scrofa,Artiodactyla
XP_020933987.1,H2A,macroH2A.1,,372,9823,Pig,VGNC:109808,,100512769,ENSSSCG00000014307,Sus scrofa,Artiodactyla
XP_020929524.1,H2A,macroH2A.2,,372,9823,Pig,VGNC:89937,,100738475,ENSSSCG00000031713,Sus scrofa,Artiodactyla
NP_734466,H2A,clustered H2A,isoform_1,131,9606,Homo sapiens,,HGNC:18729,221613,ENSG00000164508,Homo sapiens,Primates
NP_003504,H2A,clustered H2A,isoform_2,130,9606,Homo sapiens,,HGNC:4734,8335,ENSG00000278463,Homo sapiens,Primates
NP_003503,H2A,clustered H2A,isoform_3,130,9606,Homo sapiens,,HGNC:4733,8334,ENSG00000180573,Homo sapiens,Primates
NP_066409,H2A,clustered H2A,isoform_4,130,9606,Homo sapiens,,HGNC:4729,3013,ENSG00000196866,Homo sapiens,Primates
NP_066390,H2A,clustered H2A,isoform_2,130,9606,Homo sapiens,,HGNC:4724,3012,ENSG00000277075,Homo sapiens,Primates
NP_066408,H2A,clustered H2A,isoform_5,130,9606,Homo sapiens,,HGNC:4737,8969,ENSG00000196787,Homo sapiens,Primates
NP_542163,H2A,clustered H2A,isoform_6,128,9606,Homo sapiens,,HGNC:13671,85235,ENSG00000274997,Homo sapiens,Primates
NP_003500,H2A,clustered H2A,isoform_5,130,9606,Homo sapiens,,HGNC:4725,8329,ENSG00000196747,Homo sapiens,Primates
NP_066544,H2A,clustered H2A,isoform_7,128,9606,Homo sapiens,,HGNC:4727,8331,ENSG00000276368,Homo sapiens,Primates
NP_003501,H2A,clustered H2A,isoform_5,130,9606,Homo sapiens,,HGNC:4726,8330,ENSG00000275221,Homo sapiens,Primates
NP_003502,H2A,clustered H2A,isoform_5,130,9606,Homo sapiens,,HGNC:4730,8332,ENSG00000276903,Homo sapiens,Primates
NP_003505,H2A,clustered H2A,isoform_5,130,9606,Homo sapiens,,HGNC:4735,8336,ENSG00000278677,Homo sapiens,Primates
NP_003507,H2A,clustered H2A,isoform_8,130,9606,Homo sapiens,,HGNC:4736,8337,ENSG00000203812,Homo sapiens,Primates
NP_001035807,H2A,clustered H2A,isoform_8,130,9606,Homo sapiens,,HGNC:29668,723790,ENSG00000272196,Homo sapiens,Primates
NP_003508,H2A,clustered H2A,isoform_9,129,9606,Homo sapiens,,HGNC:4738,8338,ENSG00000184260,Homo sapiens,Primates
NP_778235,H2A,clustered H2A,isoform_10,130,9606,Homo sapiens,,HGNC:20508,317772,ENSG00000184270,Homo sapiens,Primates
NP_254280,H2A,clustered H2A,isoform_11,130,9606,Homo sapiens,,HGNC:20507,92815,ENSG00000181218,Homo sapiens,Primates
NP_002097,H2A,H2A.Z.1,,128,9606,Homo sapiens,,HGNC:4741,3015,ENSG00000164032,Homo sapiens,Primates
NP_036544,H2A,H2A.Z.2,,128,9606,Homo sapiens,,HGNC:20664,94239,ENSG00000105968,Homo sapiens,Primates
NP_619541,H2A,H2A.Z.2,,114,9606,Homo sapiens,,HGNC:20664,94239,ENSG00000105968,Homo sapiens,Primates
NP_958844,H2A,H2A.Z.2,,102,9606,Homo sapiens,,HGNC:20664,94239,ENSG00000105968,Homo sapiens,Primates
NP_958924,H2A,H2A.Z.2,,66,9606,Homo sapiens,,HGNC:20664,94239,ENSG00000105968,Homo sapiens,Primates
NP_958925,H2A,H2A.Z.2,,90,9606,Homo sapiens,,HGNC:20664,94239,ENSG00000105968,Homo sapiens,Primates
NP_613075,H2A,macroH2A.1,,369,9606,Homo sapiens,,HGNC:4740,9555,ENSG00000113648,Homo sapiens,Primates
NP_613258,H2A,macroH2A.1,,372,9606,Homo sapiens,,HGNC:4740,9555,ENSG00000113648,Homo sapiens,Primates
NP_001035248,H2A,macroH2A.1,,371,9606,Homo sapiens,,HGNC:4740,9555,ENSG00000113648,Homo sapiens,Primates
NP_061119,H2A,macroH2A.2,,372,9606,Homo sapiens,,HGNC:14453,55506,ENSG00000099284,Homo sapiens,Primates
NP_002096,H2A,H2A.X,,143,9606,Homo sapiens,,HGNC:4739,3014,ENSG00000188486,Homo sapiens,Primates
NP_808760,H2A,H2A.J,,129,9606,Homo sapiens,,HGNC:14456,55766,ENSG00000246705,Homo sapiens,Primates
NP_001017990,H2A,H2A.B,,115,9606,Homo sapiens,,HGNC:22516,474382,ENSG00000274183,Homo sapiens,Primates
NP_001017991,H2A,H2A.B,,115,9606,Homo sapiens,,HGNC:18298,474381,ENSG00000277858,Homo sapiens,Primates
NP_542451,H2A,H2A.B,,115,9606,Homo sapiens,,HGNC:14455,83740,ENSG00000277745,Homo sapiens,Primates
NP_036406,H2A,H2A.P,,117,9606,Homo sapiens,,HGNC:18417,25763,ENSG00000187516,Homo sapiens,Primates
HISTDB_H2A_L_0,H2A,H2A.L,,199,9606,Homo sapiens,,HGNC:53959,115482714,ENSG00000249467,Homo sapiens,Primates
HISTDB_H2A_L_1,H2A,H2A.L,,148,9606,Homo sapiens,,HGNC:53960,115482686,ENSG00000229674,Homo sapiens,Primates
NP_808760.1,H2A,H2A.J_(Homo_sapiens),,129,9606,Homo sapiens,,HGNC:14456,55766,,Homo sapiens,Primates
NP_002096.1,H2A,H2A.X_(Homo_sapiens),,143,9606,Homo sapiens,,HGNC:4739,3014,,Homo sapiens,Primates
NP_001073248.1,H2A,H2A.X_(Mammalia),,143,9913,Bos taurus,,,531733,ENSBTAG00070035786,Bos taurus,Artiodactyla
NP_001102761.1,H2A,H2A.X_(Mammalia),,143,10116,Rattus norvegicus,,,500987,ENSRNOG00000074924,Rattus norvegicus,Rodentia
NP_034566.1,H2A,H2A.X_(Mus_musculus),,143,10090,Mus musculus,,,15270,ENSMUSG00000049932,Mus musculus,Rodentia
NP_002097.1,H2A,H2A.Z.1_(Homo_sapiens),,128,9606,Homo sapiens,,HGNC:4741,3015,,Homo sapiens,Primates
NP_036544.1,H2A,H2A.Z.2.s1_(Homo_sapiens),,128,9606,Homo sapiens,,HGNC:20664,94239,,Homo sapiens,Primates
NP_958844.1,H2A,H2A.Z.2.s1_(Homo_sapiens),,102,9606,Homo sapiens,,HGNC:20664,94239,,Homo sapiens,Primates
NP_958924.1,H2A,H2A.Z.2.s1_(Homo_sapiens),,66,9606,Homo sapiens,,HGNC:20664,94239,,Homo sapiens,Primates
NP_619541.1,H2A,H2A.Z.2.s2_(Homo_sapiens),,114,9606,Homo sapiens,,HGNC:20664,94239,,Homo sapiens,Primates
NP_958925.1,H2A,H2A.Z.2.s2_(Homo_sapiens),,90,9606,Homo sapiens,,HGNC:20664,94239,,Homo sapiens,Primates
NP_778235.1,H2A,cH2A.10_(Homo_sapiens),,130,9606,Homo sapiens,,HGNC:20508,317772,,Homo sapiens,Primates
NP_254280.1,H2A,cH2A.11_(Homo_sapiens),,130,9606,Homo sapiens,,HGNC:20507,92815,,Homo sapiens,Primates
NP_734466.1,H2A,cH2A.1_(Homo_sapiens),,131,9606,Homo sapiens,,HGNC:18729,221613,,Homo sapiens,Primates
NP_783589.1,H2A,cH2A.1_(Mus_musculus),,129,10090,Mus musculus,,,319163,ENSMUSG00000060081,Mus musculus,Rodentia
NP_003504.2,H2A,cH2A.2_(Homo_sapiens),,130,9606,Homo sapiens,,HGNC:4734,8335,,Homo sapiens,Primates
NP_066390.1,H2A,cH2A.2_(Homo_sapiens),,130,9606,Homo sapiens,,HGNC:4724,3012,,Homo sapiens,Primates
NP_003503.1,H2A,cH2A.3_(Homo_sapiens),,130,9606,Homo sapiens,,HGNC:4733,8334,,Homo sapiens,Primates
NP_066409.1,H2A,cH2A.4_(Homo_sapiens),,130,9606,Homo sapiens,,HGNC:4729,3013,,Homo sapiens,Primates
NP_003500.1,H2A,cH2A.5_(Homo_sapiens),,130,9606,Homo sapiens,,HGNC:4725,8329,,Homo sapiens,Primates
NP_003501.1,H2A,cH2A.5_(Homo_sapiens),,130,9606,Homo sapiens,,HGNC:4726,8330,,Homo sapiens,Primates
NP_003502.1,H2A,cH2A.5_(Homo_sapiens),,130,9606,Homo sapiens,,HGNC:4730,8332,,Homo sapiens,Primates
NP_003505.1,H2A,cH2A.5_(Homo_sapiens),,130,9606,Homo sapiens,,HGNC:4735,8336,,Homo sapiens,Primates
NP_066408.1,H2A,cH2A.5_(Homo_sapiens),,130,9606,Homo sapiens,,HGNC:4737,8969,,Homo sapiens,Primates
NP_542163.1,H2A,cH2A.6_(Homo_sapiens),,128,9606,Homo sapiens,,HGNC:13671,85235,,Homo sapiens,Primates
NP_066544.1,H2A,cH2A.7_(Homo_sapiens),,128,9606,Homo sapiens,,HGNC:4727,8331,,Homo sapiens,Primates
NP_001035807.1,H2A,cH2A.8_(Homo_sapiens),,130,9606,Homo sapiens,,HGNC:29668,723790,,Homo sapiens,Primates
NP_003507.1,H2A,cH2A.8_(Homo_sapiens),,130,9606,Homo sapiens,,HGNC:4736,8337,,Homo sapiens,Primates
