accession,hmm_model,score,used_for_classification
EHB10563.1,H2A.1,91.4,False
EHB04253.1,H2A.1,91.0,False
XP_002763866.1,H2A.1,89.7,False
NP_001017990.1,H2A.1,89.4,False
NP_001069373.1,H2A.1,87.0,False
NP_193093.1,H2A.1,85.5,False
XP_003484147.1,H2A.1,83.8,False
XP_003469395.1,H2A.1,78.3,False
XP_003508207.1,H2A.1,76.0,False
XP_003421752.1,H2A.1,72.0,False
XP_003469399.1,H2A.1,70.7,False
XP_003135571.1,H2A.1,70.5,False
NP_001268460.1,H2A.1,65.5,False
EHB05905.1,H2A.1,57.8,False
NP_083864.1,H2A.1,56.8,False
XP_003515491.1,H2A.1,54.9,False
NP_001268459.1,H2A.1,54.6,False
XP_003514308.1,H2A.1,53.1,False
NP_001128070.1,H2A.1,38.3,False
NP_080372.1,H2A.1,37.2,False
XP_003508203.1,H2A.1,35.4,False
XP_005641297.1,H2A.1,27.4,False
XP_002913536.1,H2A.1,26.7,False
XP_003135058.1,H2A.1,26.0,False
EHH30639.1,H2A.1,11.7,False
XP_003317470.1,H2A.1,11.6,False
XP_007485414.1,canonical_H2A,242.1,True
XP_003478913.1,canonical_H2A,241.9,True
XP_011215280.1,canonical_H2A,241.7,True
NP_001192525.1,canonical_H2A,241.7,True
XP_005640150.1,canonical_H2A,241.7,True
XP_004088806.1,canonical_H2A,241.7,True
XP_009448979.1,canonical_H2A,241.5,True
XP_004847876.1,canonical_H2A,241.3,True
XP_003422330.1,canonical_H2A,241.3,True
XP_008246690.1,canonical_H2A,241.3,True
XP_003356618.1,canonical_H2A,241.3,True
NP_068612.2,canonical_H2A,240.7,True
XP_007634672.1,canonical_H2A,240.0,True
NP_066390.1,canonical_H2A,240.0,True
NP_001180653.1,canonical_H2A,240.0,True
NP_835489.1,canonical_H2A,240.0,True
NP_734466.1,canonical_H2A,239.9,False
NP_001072943.1,canonical_H2A,239.4,True
XP_008992112.1,canonical_H2A,238.8,True
NP_001087948.1,canonical_H2A,238.3,True
XP_009296490.1,canonical_H2A,235.1,True
NP_957367.1,canonical_H2A,234.8,False
NP_002096.1,canonical_H2A,233.8,False
NP_001102761.1,canonical_H2A,233.6,False
NP_001073248.1,canonical_H2A,233.6,False
NP_034566.1,canonical_H2A,233.0,False
XP_001370540.1,canonical_H2A,232.4,False
NP_783589.1,canonical_H2A,231.9,False
XP_001119899.1,canonical_H2A,230.1,True
EEC09557.1,canonical_H2A,229.8,True
XP_624700.1,canonical_H2A,228.3,False
NP_724343.1,canonical_H2A,228.4,True
XP_002116274.1,canonical_H2A,226.6,False
NP_175517.1,canonical_H2A,226.2,True
NP_001190852.1,canonical_H2A,225.7,True
EDO48405.1,canonical_H2A,224.8,True
NP_505463.1,canonical_H2A,224.7,True
NP_200275.1,canonical_H2A,223.3,True
NP_188703.1,canonical_H2A,223.0,True
NP_001066688.1,canonical_H2A,222.2,True
NP_001141988.1,canonical_H2A,221.6,True
XP_010685819.1,canonical_H2A,220.5,True
NP_001132837.1,canonical_H2A,220.3,True
XP_002365268.1,canonical_H2A,220.3,True
XP_011387544.1,canonical_H2A,218.5,False
XP_011387544.1,canonical_H2A,218.5,False
NP_594421.1,canonical_H2A,217.7,False
XP_002784006.1,canonical_H2A,216.9,False
NP_001183510.1,canonical_H2A,216.4,False
NP_009552.1,canonical_H2A,216.3,False
NP_010511.3,canonical_H2A,216.2,False
NP_001183439.1,canonical_H2A,215.4,False
XP_008644553.1,canonical_H2A,214.6,False
NP_175868.1,canonical_H2A,214.3,False
NP_172363.1,canonical_H2A,214.3,False
AAC37292.1,canonical_H2A,214.0,True
AAC37291.1,canonical_H2A,213.5,False
NP_001281214.1,canonical_H2A,213.2,False
NP_001066920.1,canonical_H2A,213.3,False
NP_001105357.1,canonical_H2A,212.9,False
NP_001141182.1,canonical_H2A,212.4,False
NP_001278724.1,canonical_H2A,212.0,False
EER16127.1,canonical_H2A,211.5,True
XP_008662624.1,canonical_H2A,210.3,False
XP_002365290.1,canonical_H2A,210.1,False
NP_001183143.1,canonical_H2A,209.9,False
NP_200795.1,canonical_H2A,209.2,False
NP_198119.1,canonical_H2A,205.6,False
XP_627120.1,canonical_H2A,205.4,False
XP_001637578.1,canonical_H2A,186.5,False
XP_005272189.1,canonical_H2A,183.7,False
NP_001264267.1,canonical_H2A,184.7,False
XP_002111582.1,canonical_H2A,182.9,False
AAC28846.1,canonical_H2A,183.7,False
NP_990338.1,canonical_H2A,183.7,False
NP_613258.2,canonical_H2A,183.7,False
NP_061119.1,canonical_H2A,181.3,False
NP_001020673.1,canonical_H2A,178.9,False
XP_845905.1,canonical_H2A,175.3,True
NP_524519.1,canonical_H2A,172.6,False
NP_705930.1,canonical_H2A,170.9,False
P02272.2,canonical_H2A,170.9,False
NP_036544.1,canonical_H2A,170.9,False
NP_002097.1,canonical_H2A,170.4,False
NP_001036788.1,canonical_H2A,170.4,False
NP_001026545.1,canonical_H2A,169.8,False
EDO46289.1,canonical_H2A,169.3,False
XP_637656.1,canonical_H2A,169.1,True
XP_637656.1,canonical_H2A,169.1,True
XP_002111498.1,canonical_H2A,168.8,False
CAA33554.1,canonical_H2A,167.0,False
NP_175683.1,canonical_H2A,166.4,False
NP_001051232.1,canonical_H2A,164.5,False
NP_001141633.1,canonical_H2A,163.6,False
NP_001136523.1,canonical_H2A,163.6,False
NP_191019.1,canonical_H2A,161.8,False
NP_014631.1,canonical_H2A,160.9,False
NP_181415.1,canonical_H2A,160.0,False
NP_595630.3,canonical_H2A,159.6,False
XP_002371743.1,canonical_H2A,159.4,False
XP_626045.1,canonical_H2A,158.7,False
XP_002784054.1,canonical_H2A,158.1,False
XP_002784055.1,canonical_H2A,157.3,False
XP_002776752.1,canonical_H2A,157.0,False
XP_641587.1,canonical_H2A,143.3,False
XP_846259.1,canonical_H2A,139.7,False
XP_001704715.1,canonical_H2A,122.1,False
XP_003360303.2,canonical_H2A,114.3,False
XP_548938.1,canonical_H2A,110.1,False
EHB17227.1,canonical_H2A,108.8,False
XP_002927211.1,canonical_H2A,108.4,False
XP_002720052.1,canonical_H2A,105.5,False
XP_002719866.1,canonical_H2A,105.2,False
NP_080903.1,canonical_H2A,105.2,False
EHB04253.1,canonical_H2A,100.2,False
XP_548947.1,canonical_H2A,99.9,False
EHB10563.1,canonical_H2A,99.8,False
NP_193093.1,canonical_H2A,99.4,False
XP_011215272.1,canonical_H2A,98.2,False
XP_875023.2,canonical_H2A,98.4,False
NP_001180843.1,canonical_H2A,97.9,False
XP_001145032.1,canonical_H2A,96.8,False
NP_542451.1,canonical_H2A,96.4,False
NP_001071426.1,canonical_H2A,95.9,False
XP_002763866.1,canonical_H2A,95.7,False
XP_002403551.1,canonical_H2A,94.5,False
XP_003282204.1,canonical_H2A,94.7,False
NP_001017990.1,canonical_H2A,91.8,False
XP_003484147.1,canonical_H2A,89.5,False
XP_003469395.1,canonical_H2A,88.6,False
NP_001069373.1,canonical_H2A,86.2,False
XP_003508207.1,canonical_H2A,81.2,False
XP_003469399.1,canonical_H2A,78.2,False
XP_003421752.1,canonical_H2A,75.1,False
XP_003135571.1,canonical_H2A,72.2,False
NP_001268460.1,canonical_H2A,70.2,False
EHB05905.1,canonical_H2A,64.3,False
NP_083864.1,canonical_H2A,63.9,False
NP_001268459.1,canonical_H2A,61.3,False
XP_003515491.1,canonical_H2A,59.3,False
XP_003514308.1,canonical_H2A,57.1,False
NP_001128070.1,canonical_H2A,37.7,False
NP_080372.1,canonical_H2A,36.9,False
XP_005641297.1,canonical_H2A,35.5,False
XP_003508203.1,canonical_H2A,35.0,False
XP_003135058.1,canonical_H2A,31.4,False
XP_002913536.1,canonical_H2A,29.8,False
XP_003317470.1,canonical_H2A,14.0,False
EHH30639.1,canonical_H2A,13.2,False
XP_002925981.1,canonical_H2A,12.5,False
NP_036406.1,canonical_H2A,12.1,False
AAC26851.1,canonical_H2A,11.9,False
AAC28846.1,macroH2A,697.9,True
XP_005272189.1,macroH2A,694.1,True
NP_613258.2,macroH2A,692.9,True
NP_990338.1,macroH2A,691.8,True
NP_061119.1,macroH2A,670.1,True
NP_001264267.1,macroH2A,668.1,True
NP_001020673.1,macroH2A,650.8,True
XP_002403551.1,macroH2A,571.0,True
XP_001637578.1,macroH2A,569.3,True
XP_002111582.1,macroH2A,564.2,True
XP_001370540.1,macroH2A,199.2,False
NP_034566.1,macroH2A,198.5,False
NP_001102761.1,macroH2A,198.3,False
NP_001073248.1,macroH2A,198.2,False
NP_002096.1,macroH2A,198.1,False
XP_007485414.1,macroH2A,198.1,False
NP_734466.1,macroH2A,197.4,False
XP_003478913.1,macroH2A,197.4,False
XP_002116274.1,macroH2A,196.8,False
XP_008992112.1,macroH2A,196.4,False
NP_783589.1,macroH2A,196.2,False
XP_001119899.1,macroH2A,196.0,False
NP_957367.1,macroH2A,195.8,False
XP_624700.1,macroH2A,195.5,False
NP_068612.2,macroH2A,195.4,False
XP_010685819.1,macroH2A,195.2,False
XP_011215280.1,macroH2A,195.0,False
NP_001192525.1,macroH2A,195.0,False
XP_005640150.1,macroH2A,195.0,False
XP_004088806.1,macroH2A,195.0,False
EDO48405.1,macroH2A,194.7,False
NP_001072943.1,macroH2A,194.6,False
XP_008662624.1,macroH2A,194.4,False
XP_009296490.1,macroH2A,193.9,False
XP_002784006.1,macroH2A,193.7,False
NP_724343.1,macroH2A,193.4,False
XP_002365268.1,macroH2A,193.2,False
NP_198119.1,macroH2A,193.0,False
XP_009448979.1,macroH2A,193.1,False
XP_004847876.1,macroH2A,193.0,False
XP_003422330.1,macroH2A,193.0,False
XP_008246690.1,macroH2A,193.0,False
XP_003356618.1,macroH2A,193.0,False
XP_007634672.1,macroH2A,192.8,False
NP_066390.1,macroH2A,192.8,False
NP_001180653.1,macroH2A,192.8,False
NP_835489.1,macroH2A,192.8,False
NP_001087948.1,macroH2A,191.8,False
EEC09557.1,macroH2A,191.6,False
NP_505463.1,macroH2A,190.6,False
XP_002365290.1,macroH2A,190.4,False
NP_001278724.1,macroH2A,189.9,False
XP_011387544.1,macroH2A,188.8,False
XP_011387544.1,macroH2A,188.8,False
NP_200795.1,macroH2A,188.8,False
XP_008644553.1,macroH2A,188.9,False
NP_001066688.1,macroH2A,188.6,False
NP_001141182.1,macroH2A,188.0,False
NP_001066920.1,macroH2A,188.1,False
NP_188703.1,macroH2A,187.9,False
NP_001190852.1,macroH2A,187.7,False
NP_001183510.1,macroH2A,187.5,False
NP_001132837.1,macroH2A,187.2,False
NP_001105357.1,macroH2A,186.7,False
NP_200275.1,macroH2A,186.7,False
NP_009552.1,macroH2A,186.4,False
NP_001183143.1,macroH2A,186.3,False
NP_010511.3,macroH2A,186.3,False
NP_175517.1,macroH2A,186.1,False
NP_001141988.1,macroH2A,186.1,False
NP_001281214.1,macroH2A,186.0,False
NP_001183439.1,macroH2A,185.8,False
XP_627120.1,macroH2A,185.6,False
NP_172363.1,macroH2A,185.1,False
NP_175868.1,macroH2A,184.3,False
NP_594421.1,macroH2A,183.4,False
AAC37292.1,macroH2A,183.2,False
EER16127.1,macroH2A,182.3,False
AAC37291.1,macroH2A,182.2,False
NP_524519.1,macroH2A,151.1,False
NP_705930.1,macroH2A,148.6,False
P02272.2,macroH2A,148.6,False
NP_036544.1,macroH2A,148.6,False
NP_002097.1,macroH2A,148.4,False
NP_001036788.1,macroH2A,148.4,False
NP_001026545.1,macroH2A,148.1,False
EDO46289.1,macroH2A,147.9,False
XP_002111498.1,macroH2A,147.7,False
NP_001051232.1,macroH2A,141.1,False
NP_191019.1,macroH2A,141.1,False
CAA33554.1,macroH2A,141.0,False
NP_001141633.1,macroH2A,140.6,False
NP_001136523.1,macroH2A,140.4,False
NP_175683.1,macroH2A,140.2,False
NP_595630.3,macroH2A,137.5,False
NP_181415.1,macroH2A,137.0,False
NP_014631.1,macroH2A,136.6,False
XP_641587.1,macroH2A,136.3,False
XP_002784055.1,macroH2A,135.3,False
XP_002784054.1,macroH2A,134.9,False
XP_002371743.1,macroH2A,134.7,False
XP_002776752.1,macroH2A,133.9,False
XP_626045.1,macroH2A,132.4,False
XP_845905.1,macroH2A,119.6,False
XP_846259.1,macroH2A,111.5,False
XP_637656.1,macroH2A,102.5,False
XP_637656.1,macroH2A,102.5,False
XP_001704715.1,macroH2A,101.0,False
XP_003360303.2,macroH2A,98.2,False
XP_548938.1,macroH2A,96.9,False
EHB17227.1,macroH2A,94.4,False
NP_080903.1,macroH2A,94.5,False
XP_002927211.1,macroH2A,91.7,False
XP_002720052.1,macroH2A,91.2,False
XP_002719866.1,macroH2A,90.9,False
XP_875023.2,macroH2A,89.8,False
EHB04253.1,macroH2A,85.5,False
XP_548947.1,macroH2A,85.6,False
XP_002763866.1,macroH2A,84.6,False
EHB10563.1,macroH2A,84.4,False
NP_001180843.1,macroH2A,81.9,False
NP_001071426.1,macroH2A,81.1,False
NP_193093.1,macroH2A,80.7,False
NP_542451.1,macroH2A,80.2,False
XP_003282204.1,macroH2A,79.5,False
XP_001145032.1,macroH2A,78.3,False
XP_011215272.1,macroH2A,77.6,False
NP_001017990.1,macroH2A,75.7,False
XP_003469395.1,macroH2A,75.4,False
NP_001069373.1,macroH2A,70.7,False
XP_003484147.1,macroH2A,70.2,False
XP_003508207.1,macroH2A,68.1,False
XP_003469399.1,macroH2A,65.0,False
XP_003421752.1,macroH2A,55.9,False
XP_003135571.1,macroH2A,54.4,False
NP_083864.1,macroH2A,54.0,False
NP_001268460.1,macroH2A,51.7,False
XP_003515491.1,macroH2A,46.9,False
EHB05905.1,macroH2A,46.1,False
NP_001268459.1,macroH2A,41.4,False
XP_003514308.1,macroH2A,41.1,False
NP_080372.1,macroH2A,22.7,False
XP_005641297.1,macroH2A,22.1,False
NP_001128070.1,macroH2A,21.7,False
XP_003135058.1,macroH2A,16.4,False
XP_003508203.1,macroH2A,16.2,False
XP_002913536.1,macroH2A,15.0,False
Q9FFC0.3,macroH2A,6.2,False
NP_001183143.1,H2A.W,310.1,True
NP_001183439.1,H2A.W,309.6,True
NP_001281214.1,H2A.W,309.6,True
NP_001105357.1,H2A.W,307.9,True
NP_001183510.1,H2A.W,305.8,True
NP_001141182.1,H2A.W,292.6,True
XP_010685819.1,H2A.W,288.5,False
NP_001278724.1,H2A.W,287.4,True
NP_200795.1,H2A.W,274.7,True
NP_198119.1,H2A.W,271.1,True
AAC37291.1,H2A.W,217.5,False
NP_957367.1,H2A.W,215.9,False
AAC37292.1,H2A.W,215.6,False
XP_008644553.1,H2A.W,215.4,False
EEC09557.1,H2A.W,214.9,False
XP_624700.1,H2A.W,214.5,False
NP_175517.1,H2A.W,214.5,False
NP_188703.1,H2A.W,213.9,False
XP_002365268.1,H2A.W,213.8,False
XP_002784006.1,H2A.W,213.3,False
NP_001141988.1,H2A.W,213.2,False
XP_002365290.1,H2A.W,213.0,False
XP_001119899.1,H2A.W,212.9,False
NP_001190852.1,H2A.W,212.8,False
NP_002096.1,H2A.W,212.3,False
NP_001066688.1,H2A.W,212.3,False
NP_001073248.1,H2A.W,211.7,False
NP_724343.1,H2A.W,211.8,False
NP_172363.1,H2A.W,211.7,False
NP_001102761.1,H2A.W,211.6,False
XP_002116274.1,H2A.W,211.6,False
NP_175868.1,H2A.W,211.4,False
NP_734466.1,H2A.W,211.4,False
NP_034566.1,H2A.W,210.9,False
NP_001066920.1,H2A.W,210.7,False
XP_001370540.1,H2A.W,210.5,False
NP_200275.1,H2A.W,210.1,False
EDO48405.1,H2A.W,210.0,False
XP_008992112.1,H2A.W,209.9,False
NP_001132837.1,H2A.W,209.8,False
XP_009296490.1,H2A.W,208.3,False
NP_505463.1,H2A.W,208.1,False
NP_001087948.1,H2A.W,207.4,False
NP_001072943.1,H2A.W,207.1,False
XP_008662624.1,H2A.W,207.0,False
XP_007485414.1,H2A.W,206.9,False
XP_011215280.1,H2A.W,206.7,False
NP_001192525.1,H2A.W,206.7,False
XP_005640150.1,H2A.W,206.7,False
XP_004088806.1,H2A.W,206.7,False
XP_003478913.1,H2A.W,206.7,False
XP_009448979.1,H2A.W,206.3,False
XP_004847876.1,H2A.W,206.2,False
XP_003422330.1,H2A.W,206.2,False
XP_008246690.1,H2A.W,206.2,False
XP_003356618.1,H2A.W,206.2,False
NP_009552.1,H2A.W,206.0,False
NP_068612.2,H2A.W,206.0,False
NP_010511.3,H2A.W,205.5,False
XP_007634672.1,H2A.W,205.4,False
NP_066390.1,H2A.W,205.4,False
NP_001180653.1,H2A.W,205.4,False
NP_835489.1,H2A.W,205.4,False
NP_783589.1,H2A.W,205.1,False
XP_011387544.1,H2A.W,204.7,False
XP_011387544.1,H2A.W,204.7,False
XP_627120.1,H2A.W,201.3,False
EER16127.1,H2A.W,200.9,False
NP_594421.1,H2A.W,197.5,False
XP_001637578.1,H2A.W,184.2,False
NP_613258.2,H2A.W,179.8,False
XP_005272189.1,H2A.W,179.6,False
AAC28846.1,H2A.W,179.5,False
NP_990338.1,H2A.W,179.4,False
NP_001264267.1,H2A.W,175.6,False
XP_002111582.1,H2A.W,172.9,False
NP_061119.1,H2A.W,171.1,False
NP_001020673.1,H2A.W,169.2,False
CAA33554.1,H2A.W,151.5,False
NP_001026545.1,H2A.W,146.3,False
NP_002097.1,H2A.W,146.0,False
NP_001036788.1,H2A.W,145.9,False
NP_705930.1,H2A.W,145.6,False
P02272.2,H2A.W,145.6,False
NP_036544.1,H2A.W,145.6,False
NP_524519.1,H2A.W,144.6,False
XP_002111498.1,H2A.W,143.5,False
EDO46289.1,H2A.W,143.4,False
NP_014631.1,H2A.W,141.6,False
NP_175683.1,H2A.W,140.6,False
NP_181415.1,H2A.W,139.7,False
NP_001051232.1,H2A.W,139.3,False
NP_191019.1,H2A.W,139.2,False
XP_002784055.1,H2A.W,138.2,False
XP_002776752.1,H2A.W,138.3,False
NP_001141633.1,H2A.W,138.4,False
NP_001136523.1,H2A.W,138.2,False
XP_002784054.1,H2A.W,137.3,False
NP_595630.3,H2A.W,136.5,False
XP_641587.1,H2A.W,135.2,False
XP_626045.1,H2A.W,133.3,False
XP_002371743.1,H2A.W,131.9,False
XP_845905.1,H2A.W,127.8,False
XP_846259.1,H2A.W,115.4,False
EHB17227.1,H2A.W,108.5,False
XP_001704715.1,H2A.W,108.0,False
XP_637656.1,H2A.W,106.3,False
XP_637656.1,H2A.W,106.3,False
XP_003360303.2,H2A.W,105.5,False
XP_002720052.1,H2A.W,101.2,False
XP_002719866.1,H2A.W,100.8,False
NP_080903.1,H2A.W,100.6,False
XP_002403551.1,H2A.W,98.4,False
XP_002927211.1,H2A.W,98.5,False
EHB10563.1,H2A.W,95.7,False
XP_548938.1,H2A.W,95.6,False
EHB04253.1,H2A.W,94.3,False
XP_875023.2,H2A.W,90.4,False
XP_003282204.1,H2A.W,89.0,False
NP_001071426.1,H2A.W,88.6,False
NP_001180843.1,H2A.W,88.3,False
NP_542451.1,H2A.W,88.1,False
XP_001145032.1,H2A.W,87.9,False
XP_548947.1,H2A.W,86.7,False
XP_011215272.1,H2A.W,86.0,False
NP_001017990.1,H2A.W,84.0,False
XP_002763866.1,H2A.W,82.9,False
XP_003484147.1,H2A.W,81.2,False
NP_193093.1,H2A.W,81.0,False
XP_003469395.1,H2A.W,78.6,False
NP_001069373.1,H2A.W,76.0,False
XP_003469399.1,H2A.W,73.8,False
XP_003508207.1,H2A.W,71.6,False
XP_003135571.1,H2A.W,66.3,False
XP_003421752.1,H2A.W,65.3,False
EHB05905.1,H2A.W,53.1,False
NP_001268460.1,H2A.W,53.1,False
NP_083864.1,H2A.W,51.4,False
NP_001268459.1,H2A.W,43.5,False
XP_003515491.1,H2A.W,43.2,False
XP_003514308.1,H2A.W,41.9,False
NP_001128070.1,H2A.W,31.1,False
NP_080372.1,H2A.W,28.4,False
XP_003508203.1,H2A.W,28.1,False
XP_005641297.1,H2A.W,26.1,False
XP_002913536.1,H2A.W,23.8,False
XP_003135058.1,H2A.W,20.5,False
XP_003317470.1,H2A.W,11.4,False
EHH30639.1,H2A.W,11.1,False
NP_034566.1,H2A.X,238.9,True
NP_001102761.1,H2A.X,238.6,True
NP_002096.1,H2A.X,238.6,True
NP_001073248.1,H2A.X,238.5,True
XP_001370540.1,H2A.X,237.5,True
NP_957367.1,H2A.X,236.6,True
XP_011215280.1,H2A.X,233.9,False
NP_001192525.1,H2A.X,233.9,False
XP_005640150.1,H2A.X,233.9,False
XP_004088806.1,H2A.X,233.9,False
NP_001072943.1,H2A.X,233.9,False
XP_624700.1,H2A.X,233.4,True
NP_175868.1,H2A.X,233.2,True
NP_172363.1,H2A.X,233.2,True
NP_734466.1,H2A.X,233.2,False
NP_001066920.1,H2A.X,233.2,True
XP_007485414.1,H2A.X,232.9,False
XP_009448979.1,H2A.X,232.9,False
XP_003478913.1,H2A.X,232.8,False
XP_004847876.1,H2A.X,232.6,False
XP_003422330.1,H2A.X,232.6,False
XP_008246690.1,H2A.X,232.6,False
XP_003356618.1,H2A.X,232.6,False
XP_009296490.1,H2A.X,232.6,False
NP_068612.2,H2A.X,232.4,False
XP_008644553.1,H2A.X,232.2,True
XP_002116274.1,H2A.X,232.1,True
XP_011387544.1,H2A.X,231.5,True
XP_011387544.1,H2A.X,231.5,True
XP_008992112.1,H2A.X,231.2,False
NP_001087948.1,H2A.X,231.0,False
XP_007634672.1,H2A.X,230.6,False
NP_066390.1,H2A.X,230.6,False
NP_001180653.1,H2A.X,230.6,False
NP_835489.1,H2A.X,230.6,False
NP_010511.3,H2A.X,229.0,True
NP_009552.1,H2A.X,228.8,True
XP_002784006.1,H2A.X,227.6,True
XP_001119899.1,H2A.X,227.6,False
AAC37291.1,H2A.X,226.7,True
XP_008662624.1,H2A.X,226.3,True
EEC09557.1,H2A.X,226.0,False
NP_783589.1,H2A.X,225.8,False
NP_724343.1,H2A.X,225.2,False
XP_002365290.1,H2A.X,225.0,True
NP_594421.1,H2A.X,224.9,True
NP_505463.1,H2A.X,224.2,False
EDO48405.1,H2A.X,224.0,False
XP_002365268.1,H2A.X,221.6,False
NP_175517.1,H2A.X,221.5,False
NP_001190852.1,H2A.X,220.8,False
NP_200275.1,H2A.X,220.6,False
NP_001066688.1,H2A.X,220.2,False
NP_188703.1,H2A.X,219.0,False
NP_001141988.1,H2A.X,218.7,False
AAC37292.1,H2A.X,218.3,False
NP_001132837.1,H2A.X,217.7,False
XP_627120.1,H2A.X,216.1,True
NP_001141182.1,H2A.X,214.2,False
EER16127.1,H2A.X,213.1,False
NP_001183439.1,H2A.X,211.0,False
NP_001281214.1,H2A.X,209.2,False
XP_010685819.1,H2A.X,209.2,False
NP_001105357.1,H2A.X,208.6,False
NP_001183510.1,H2A.X,208.5,False
NP_001183143.1,H2A.X,206.7,False
NP_200795.1,H2A.X,204.5,False
NP_001278724.1,H2A.X,202.2,False
NP_198119.1,H2A.X,201.6,False
XP_641587.1,H2A.X,199.7,True
XP_001637578.1,H2A.X,186.6,False
XP_002111582.1,H2A.X,181.9,False
NP_001264267.1,H2A.X,181.7,False
NP_061119.1,H2A.X,179.9,False
AAC28846.1,H2A.X,177.9,False
NP_990338.1,H2A.X,177.8,False
NP_613258.2,H2A.X,177.8,False
XP_005272189.1,H2A.X,177.8,False
NP_001020673.1,H2A.X,176.6,False
XP_001704715.1,H2A.X,168.3,True
NP_524519.1,H2A.X,156.9,False
EDO46289.1,H2A.X,156.5,False
XP_002111498.1,H2A.X,156.3,False
NP_014631.1,H2A.X,154.5,False
NP_002097.1,H2A.X,154.0,False
NP_001036788.1,H2A.X,153.9,False
NP_001026545.1,H2A.X,153.8,False
NP_705930.1,H2A.X,153.7,False
P02272.2,H2A.X,153.7,False
NP_036544.1,H2A.X,153.7,False
NP_001051232.1,H2A.X,152.0,False
CAA33554.1,H2A.X,151.9,False
NP_001136523.1,H2A.X,151.2,False
NP_001141633.1,H2A.X,150.8,False
NP_175683.1,H2A.X,150.9,False
NP_191019.1,H2A.X,148.6,False
NP_181415.1,H2A.X,148.0,False
NP_595630.3,H2A.X,147.9,False
XP_002784054.1,H2A.X,146.6,False
XP_002371743.1,H2A.X,146.6,False
XP_002784055.1,H2A.X,145.8,False
XP_002776752.1,H2A.X,145.1,False
XP_626045.1,H2A.X,145.2,False
XP_845905.1,H2A.X,138.1,False
XP_846259.1,H2A.X,125.3,False
XP_003360303.2,H2A.X,123.2,False
XP_548938.1,H2A.X,120.4,False
EHB17227.1,H2A.X,115.9,False
XP_002927211.1,H2A.X,116.2,False
XP_637656.1,H2A.X,114.7,False
XP_637656.1,H2A.X,114.7,False
XP_011215272.1,H2A.X,110.5,False
XP_548947.1,H2A.X,110.2,False
XP_002720052.1,H2A.X,108.9,False
XP_002719866.1,H2A.X,108.7,False
NP_080903.1,H2A.X,108.7,False
NP_001180843.1,H2A.X,107.0,False
NP_001071426.1,H2A.X,106.5,False
NP_542451.1,H2A.X,106.1,False
XP_875023.2,H2A.X,106.2,False
EHB04253.1,H2A.X,105.9,False
XP_001145032.1,H2A.X,105.0,False
EHB10563.1,H2A.X,104.6,False
XP_003282204.1,H2A.X,103.1,False
XP_002763866.1,H2A.X,103.0,False
NP_001017990.1,H2A.X,101.5,False
NP_001069373.1,H2A.X,98.5,False
XP_003484147.1,H2A.X,97.9,False
XP_002403551.1,H2A.X,89.3,False
XP_003469395.1,H2A.X,89.2,False
NP_193093.1,H2A.X,86.4,False
XP_003421752.1,H2A.X,83.2,False
XP_003469399.1,H2A.X,82.5,False
XP_003508207.1,H2A.X,81.7,False
XP_003135571.1,H2A.X,80.4,False
NP_001268460.1,H2A.X,74.8,False
XP_003515491.1,H2A.X,67.7,False
EHB05905.1,H2A.X,66.2,False
XP_003514308.1,H2A.X,64.8,False
NP_083864.1,H2A.X,64.6,False
NP_001268459.1,H2A.X,64.1,False
NP_001128070.1,H2A.X,39.7,False
XP_003508203.1,H2A.X,38.2,False
NP_080372.1,H2A.X,37.1,False
XP_005641297.1,H2A.X,36.7,False
XP_003135058.1,H2A.X,29.9,False
XP_002913536.1,H2A.X,28.9,False
XP_007485418.1,H2A.X,15.2,False
NP_783595.1,H2A.X,14.9,False
XP_007634673.1,H2A.X,14.5,False
NP_001032546.1,H2A.X,14.5,False
XP_013006892.1,H2A.X,14.5,False
XP_012928647.1,H2A.X,14.5,False
XP_011741102.1,H2A.X,14.5,False
XP_008246696.1,H2A.X,14.5,False
XP_005665716.1,H2A.X,14.5,False
NP_066402.2,H2A.X,14.5,False
XP_003422331.1,H2A.X,14.5,False
XP_005610255.1,H2A.X,14.5,False
XP_002925981.1,H2A.X,14.1,False
NP_724342.1,H2A.X,13.9,False
XP_003317470.1,H2A.X,13.7,False
NP_505464.1,H2A.X,13.2,False
XP_011216221.1,H2A.X,12.9,False
NP_001086753.1,H2A.X,12.3,False
NP_542451.1,H2A.B,203.2,True
XP_003282204.1,H2A.B,202.0,True
XP_001145032.1,H2A.B,200.6,True
NP_001017990.1,H2A.B,200.1,True
NP_001180843.1,H2A.B,198.1,True
XP_011215272.1,H2A.B,197.3,True
XP_002763866.1,H2A.B,186.8,True
NP_001268460.1,H2A.B,184.6,True
XP_003421752.1,H2A.B,183.3,True
XP_003135571.1,H2A.B,175.4,True
XP_003514308.1,H2A.B,174.7,True
NP_001069373.1,H2A.B,174.7,True
XP_003515491.1,H2A.B,171.8,True
NP_001268459.1,H2A.B,171.5,True
EHB05905.1,H2A.B,146.5,True
XP_548938.1,H2A.B,115.2,False
XP_002927211.1,H2A.B,111.7,False
EHB17227.1,H2A.B,110.1,False
XP_003360303.2,H2A.B,110.0,False
NP_783589.1,H2A.B,106.3,False
NP_080903.1,H2A.B,106.0,False
EHB04253.1,H2A.B,104.9,False
XP_548947.1,H2A.B,104.7,False
EHB10563.1,H2A.B,101.7,False
